Need to create 125 person profiles

1. 丁克订(Đinh Khắc Định) | 越南农民协会副主席 | orgs: 
2. 丁越方(Đinh Việt Phương) | 首席执行官 | orgs: 
3. 严春淹(Nghiêm Xuân Yêm) | 越南民主党总书记 | orgs: 
4. 伊荣托(Y Vinh Tơr) | 副部长 (Thứ trưởng) | orgs: 
5. 伊通(Y Thông) | 副部长 (Thứ trưởng) | orgs: 
6. 何氏娥(Hà Thị Nga) | 前越南妇女联合会主席 | orgs: 
7. 农氏霞(Nông Thị Hà) | 副部长 (Thứ trưởng) | orgs: 
8. 冯光协(Phùng Quang Hiệp) | 董事会主席 (Chủ tịch Hội đồng thành viên) | orgs: 
9. 刘文选(Lưu Văn Tuyển) | 总经理 | orgs: 
10. 升德胜(Thang Đức Thắng) | 前任总编辑 | orgs: 
11. 吴文俊(Ngô Văn Tuấn) | 部长 (Bộ trưởng) | orgs: 
12. 吴黄银(Ngô Hoàng Ngân) | 董事会主席 (Chủ tịch Hội đồng thành viên) | orgs: 
13. 吴黎文(Ngô Lê Văn) | 外交部副部长兼越南联合国教科文组织委员会主席 (Thứ trưởng, Chủ tịch Ủy ban Quốc gia UNESCO Việt Nam) | orgs: 
14. 杜德黄(Đỗ Đức Hoàng) | 副总局长 | orgs: 
15. 杜文战(Đỗ Văn Chiến) | 前越南祖国阵线中央委员会主席; 国会常务副主席 | orgs: 
16. 杜清平(Đỗ Thanh Bình) | 内务部部长 | orgs: 
17. 杜进势(Đỗ Tiến Sy) | 总局长 | orgs: 
18. 林氏芳清(Lâm Thị Phương Thanh) | 部长 (Bộ trưởng) | orgs: 
19. 梁国团(Lương Quốc Đoàn) | 越南农民协会中央执行委员会主席 | orgs: 
20. 梅娇莲(Mai Kiều Liên) | CEO | orgs: 
21. 武氏映春(Võ Thị Ánh Xuân) | 国家副主席 | orgs: 
22. 武英俊(Vũ Anh Tuấn) | 总经理 (Tổng Giám đốc) | orgs: 
23. 武越庄(Vũ Việt Trang) | 总社长 | orgs: 
24. 段文孝炎(Đoàn Văn Hiếu Em) | 首席执行官 | orgs: 
25. 段氏雪映(Đoàn Thị Tuyết Nhung) | 副总社长 | orgs: 
26. 潘氏胜(Phan Thị Thắng) | 副部长 (Thứ trưởng) | orgs: 
27. 王光凯(Vương Quang Khai) | 联合创始人、Zalo总裁 | orgs: 
28. 留忠泰(Lưu Trung Thái) | 董事会主席 | orgs: 
29. 范全旺(Phạm Toàn Vượng) | 总经理（CEO） | orgs: 
30. 范如英(Phạm Như Ánh) | 总经理 | orgs: 
31. 范宝山(Phạm Bảo Sơn) | 副校长 | orgs: 
32. 范德印(Phạm Đức Ấn) | 行长 | orgs: 
33. 范文孝(Phạm Văn Hiếu) | 总编辑 | orgs: 
34. 范文德隆(Phạm Đức Long) | 科学技术部副部长 | orgs: 
35. 范文清(Phạm Văn Thanh) | 董事会主席 | orgs: 
36. 范明霞(Phạm Minh Hà) | 副部长 | orgs: 
37. 范玉赏(Phạm Ngọc Thưởng) | 教育培训部常务副部长 | orgs: 
38. 范秋恒(Phạm Thu Hằng) | 外交部发言人 (Người Phát ngôn Bộ Ngoại giao) | orgs: 
39. 范进南(Phạm Tiến Nam) | 越南农民协会副主席 | orgs: 
40. 范黄均(Phạm Hoàng Quân) | 校长 | orgs: 
41. 蔡秋香(Thái Thu Xuộng) | 越南劳动总联合会常务副主席 | orgs: 
42. 裴光辉(Bùi Quang Huy) | 第一书记 (Bí thư thứ nhất) | orgs: 
43. 裴国威(Bùi Quốc Oai) | 海警政委 | orgs: 
44. 谢光东(Tạ Quang Đông) | 副部长 (Thứ trưởng) | orgs: 
45. 邓春峰(Đặng Xuân Phong) | 部长、政府办公厅主任 (Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ) | orgs: 
46. 邓黄英(Đặng Hoàng Anh) | 司法部副部长 | orgs: 
47. 郑氏水(Trịnh Thị Thủy) | 副部长 (Thứ trưởng) | orgs: 
48. 阮光玉(Nguyễn Quang Ngọc) | 国防部副部长 | orgs: 
49. 阮克定(Nguyễn Khắc Định) | 国会副主席 | orgs: 
