Need to create 150 person profiles

丁克订 (Đinh Khắc Định) | 越南农民协会副主席 | orgs: 
丁越方 (Đinh Việt Phương) | 首席执行官 | orgs: 
严春淹 (Nghiêm Xuân Yêm) | 越南民主党总书记 | orgs: 
伊荣托 (Y Vinh Tơr) | 副部长 (Thứ trưởng) | orgs: 
伊通 (Y Thông) | 副部长 (Thứ trưởng) | orgs: 
何氏娥 (Hà Thị Nga) | 前越南妇女联合会主席 | orgs: 
农氏霞 (Nông Thị Hà) | 副部长 (Thứ trưởng) | orgs: 
冯光协 (Phùng Quang Hiệp) | 董事会主席 (Chủ tịch Hội đồng thành viên) | orgs: 
刘文选 (Lưu Văn Tuyển) | 总经理 | orgs: 
升德胜 (Thang Đức Thắng) | 前任总编辑 | orgs: 
吴志勇 (Ngo Chi Dung) | 董事会主席 | orgs: 
吴文俊 (Ngô Văn Tuấn) | 部长 (Bộ trưởng) | orgs: 
吴黄银 (Ngô Hoàng Ngân) | 董事会主席 (Chủ tịch Hội đồng thành viên) | orgs: 
吴黎文 (Ngô Lê Văn) | 外交部副部长兼越南联合国教科文组织委员会主席 (Thứ trưởng, Chủ tịch Ủy ban Quốc gia UNESCO Việt Nam) | orgs: 
张嘉平 (Trương Gia Bình) | Chairman | orgs: 
张青怀 (Trương Thanh Hoài) | 副部长 (Thứ trưởng) | orgs: 
杜德黄 (Đỗ Đức Hoàng) | 副总局长 | orgs: 
杜文战 (Đỗ Văn Chiến) | 国会常务副主席 | orgs: , 
杜清平 (Đỗ Thanh Bình) | 内务部部长 | orgs: 
杜进势 (Đỗ Tiến Sy) | 总局长 | orgs: 
林氏芳清 (Lâm Thị Phương Thanh) | 部长 (Bộ trưởng) | orgs: 
梁三强 (Lương Tam Quang) | 公安部部长 | orgs: , , 
梁国团 (Lương Quốc Đoàn) | 越南农民协会中央执行委员会主席 | orgs: 
梅娇莲 (Mai Kiều Liên) | CEO | orgs: 
武氏映春(Võ Thị Ánh Xuân) | 国家副主席 | orgs: 
武氏秋娥 (Vu Thi Thuy Nga) | 总经理 | orgs: 
武英俊 (Vũ Anh Tuấn) | 总经理 (Tổng Giám đốc) | orgs: 
武越庄 (Vũ Việt Trang) | 总社长 | orgs: 
段文孝炎 (Đoàn Văn Hiếu Em) | 首席执行官 | orgs: 
段氏雪映 (Đoàn Thị Tuyết Nhung) | 副总社长 | orgs: 
潘文江 (Phan Văn Giang) | 政府副总理兼国防部长 | orgs: , , 
潘氏胜 (Phan Thị Thắng) | 副部长 (Thứ trưởng) | orgs: 
王光凯 (Vương Quang Khai) | 联合创始人、Zalo总裁 | orgs: 
留忠泰 (Lưu Trung Thái) | 董事会主席 | orgs: 
胡兴英 (Hồ Hùng Anh) | Vice Chairman | orgs: , 
胡国容 (Hồ Quốc Dũng) | 政府副总理 | orgs: 
苏林 (Tô Lâm) | 越共中央总书记、国家主席 | orgs: 
苏林(Tô Lâm) | 越共中央总书记兼国家主席 | orgs: 
苏辉武 (Tô Huy Vũ) | 理事会主席 | orgs: 
范世忠 (Phạm Thế Tùng) | 公安部副部长 | orgs: 
范全旺 (Phạm Toàn Vượng) | 总经理（CEO） | orgs: 
范嘉术 (Phạm Gia Túc) | 政府常务副总理 | orgs: 
范如英 (Phạm Như Ánh) | 总经理 | orgs: 
范宝山 (Phạm Bảo Sơn) | 副校长 | orgs: 
范德印 (Phạm Đức Ấn) | 行长 | orgs: 
范文孝 (Phạm Văn Hiếu) | 总编辑 | orgs: 
范文德隆 (Phạm Đức Long) | 科学技术部副部长 | orgs: 
范文江 (Phan Văn Giang) | 越共中央政治局委员、国防部长 | orgs: 
范文清 (Phạm Văn Thanh) | 董事会主席 | orgs: 
范明霞 (Phạm Minh Hà) | 副部长 | orgs: 
范玉赏 (Phạm Ngọc Thưởng) | 教育培训部常务副部长 | orgs: 
范秋恒 (Phạm Thu Hằng) | 外交部发言人 (Người Phát ngôn Bộ Ngoại giao) | orgs: 
范进南 (Phạm Tiến Nam) | 越南农民协会副主席 | orgs: 
范黄均 (Phạm Hoàng Quân) | 校长 | orgs: 
蔡秋香 (Thái Thu Xuộng) | 越南劳动总联合会常务副主席 | orgs: 
裴世维 (Bùi Thế Duy) | 科学技术部副部长 | orgs: 
裴光辉 (Bùi Quang Huy) | 第一书记 (Bí thư thứ nhất) | orgs: 
裴国威 (Bùi Quốc Oai) | 海警政委 | orgs: 
裴春容 (Bùi Xuân Dũng) | 副部长 | orgs: 
谢光东 (Tạ Quang Đông) | 副部长 (Thứ trưởng) | orgs: 
邓春峰 (Đặng Xuân Phong) | 部长、政府办公厅主任 (Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ) | orgs: 
邓黄英 (Đặng Hoàng Anh) | 司法部副部长 | orgs: 
郑氏水 (Trịnh Thị Thủy) | 副部长 (Thứ trưởng) | orgs: 
阮光玉 (Nguyễn Quang Ngọc) | 国防部副部长 | orgs: 
阮克定 (Nguyễn Khắc Định) | 国会副主席 | orgs: 
阮友图 (Nguyễn Hữu Tứ) | 总经理 (Tổng Giám đốc) | orgs: 
阮唐文 (Nguyễn Tường Văn) | 副部长 | orgs: 
阮孟强 (Nguyễn Mạnh Cường) | 外交部常务副部长 (Thứ trưởng Thường trực) | orgs: 
